age,time,sex,atmospheric condition,intersection,lighting
34,6,Male,Normal,Out of intersection,Night with public lighting on
29,13,Male,Normal,Out of intersection,Full day
46,13,Male,Normal,Out of intersection,Full day
33,17,Male,Normal,Out of intersection,Full day
14,17,Male,Normal,Out of intersection,Full day
16,17,Male,Normal,Out of intersection,Full day
20,22,Male,Normal,Out of intersection,Night without public lighting
32,22,Male,Normal,Out of intersection,Night without public lighting
46,14,Male,Normal,Out of intersection,Full day
34,14,Female,Normal,Out of intersection,Full day
40,13,Female,Normal,Out of intersection,Full day
43,13,Male,Normal,Out of intersection,Full day
34,3,Female,Normal,Out of intersection,Night without public lighting
57,18,Male,Normal,Out of intersection,Full day
15,18,Female,Normal,Out of intersection,Full day
18,9,Male,Normal,Out of intersection,Full day
5,9,Male,Normal,Out of intersection,Full day
32,22,Male,Normal,Out of intersection,Night without public lighting
52,6,Male,Normal,Out of intersection,Twilight or dawn
28,14,Male,Normal,Out of intersection,Full day
20,20,Male,Normal,Out of intersection,Twilight or dawn
55,20,Male,Normal,Out of intersection,Twilight or dawn
36,21,Male,Light rain,Out of intersection,Night with public lighting on
19,21,Male,Light rain,Out of intersection,Night with public lighting on
45,5,Male,Normal,Giratory,Night without public lighting
44,10,Female,Normal,Giratory,Full day
46,10,Male,Normal,Giratory,Full day
48,7,Male,Normal,Out of intersection,Night without public lighting
58,7,Female,Normal,Out of intersection,Night without public lighting
42,21,Male,Normal,Out of intersection,Full day
46,21,Male,Normal,Out of intersection,Full day
47,15,Male,Dazzling weather,Out of intersection,Full day
84,15,Female,Dazzling weather,Out of intersection,Full day
47,13,Male,Normal,Out of intersection,Full day
22,13,Male,Normal,Out of intersection,Full day
41,13,Male,Normal,Out of intersection,Full day
90,10,Male,Normal,Out of intersection,Full day
26,10,Male,Normal,Out of intersection,Full day
34,8,Male,Normal,Out of intersection,Twilight or dawn
14,8,Female,Normal,Out of intersection,Twilight or dawn
46,14,Male,Normal,Out of intersection,Full day
39,14,Male,Normal,Out of intersection,Full day
28,9,Male,Dazzling weather,Out of intersection,Full day
37,9,Male,Dazzling weather,Out of intersection,Full day
26,16,Male,Normal,Out of intersection,Full day
73,16,Female,Normal,Out of intersection,Full day
62,16,Female,Normal,Out of intersection,Full day
17,16,Male,Cloudy weather,Out of intersection,Full day
23,16,Female,Cloudy weather,Out of intersection,Full day
29,8,Female,Light rain,Out of intersection,Twilight or dawn
15,8,Female,Light rain,Out of intersection,Twilight or dawn
27,11,Male,Normal,Out of intersection,Full day
23,11,Male,Normal,Out of intersection,Full day
41,17,Male,Normal,Out of intersection,Full day
45,17,Male,Normal,Out of intersection,Full day
49,6,Male,Normal,Out of intersection,Twilight or dawn
31,6,Male,Normal,Out of intersection,Twilight or dawn
61,19,Male,Normal,Out of intersection,Night without public lighting
33,19,Male,Normal,Out of intersection,Night without public lighting
48,19,Male,Normal,Out of intersection,Night without public lighting
19,22,Male,Normal,Out of intersection,Night without public lighting
45,20,Male,Normal,Out of intersection,Twilight or dawn
26,1,Male,Normal,Out of intersection,Night with public lighting on
86,14,Male,Normal,Out of intersection,Full day
39,4,Male,Normal,Out of intersection,Night without public lighting
20,2,Male,Other,Out of intersection,Night without public lighting
19,17,Female,Other,Out of intersection,Night without public lighting
19,17,Male,Other,Out of intersection,Night without public lighting
20,17,Male,Other,Out of intersection,Night without public lighting
45,17,Male,Snow - hail,Out of intersection,Full day
33,17,Male,Snow - hail,Out of intersection,Full day
22,17,Male,Snow - hail,Out of intersection,Full day
48,8,Male,Cloudy weather,Out of intersection,Full day
78,8,Male,Cloudy weather,Out of intersection,Full day
42,17,Male,Normal,Out of intersection,Twilight or dawn
33,17,Female,Normal,Out of intersection,Twilight or dawn
19,17,Male,Fog - smoke,Out of intersection,Full day
39,17,Male,Fog - smoke,Out of intersection,Full day
25,2,Male,Light rain,Out of intersection,Night without public lighting
26,2,Male,Light rain,Out of intersection,Night without public lighting
17,16,Male,Normal,Out of intersection,Full day
31,17,Male,Cloudy weather,Out of intersection,Night without public lighting
54,17,Male,Cloudy weather,Out of intersection,Night without public lighting
60,17,Male,Cloudy weather,Out of intersection,Night without public lighting
61,17,Female,Cloudy weather,Out of intersection,Night without public lighting
78,14,Male,Normal,Out of intersection,Full day
40,14,Male,Normal,Out of intersection,Full day
80,13,Male,Normal,Out of intersection,Full day
22,17,Female,Dazzling weather,Out of intersection,Full day
57,17,Female,Dazzling weather,Out of intersection,Full day
47,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
14,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
14,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
13,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
12,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
11,7,Female,Fog - smoke,Out of intersection,Twilight or dawn
36,7,Male,Fog - smoke,Out of intersection,Twilight or dawn
38,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
28,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
50,19,Male,Strong wind - storm,Out of intersection,Night without public lighting
43,20,Male,Light rain,Out of intersection,Night without public lighting
56,14,Male,Normal,Out of intersection,Full day
29,14,Female,Normal,Out of intersection,Full day
47,14,Male,Normal,Out of intersection,Full day
2,14,Female,Normal,Out of intersection,Full day
5,14,Male,Normal,Out of intersection,Full day
61,23,Male,Normal,Out of intersection,Night without public lighting
60,23,Female,Normal,Out of intersection,Night without public lighting
30,23,Male,Normal,Out of intersection,Night without public lighting
29,23,Male,Normal,Out of intersection,Night without public lighting
45,18,Male,Normal,Other intersection,Full day
72,18,Male,Normal,Other intersection,Full day
37,18,Male,Normal,Other intersection,Full day
36,18,Female,Normal,Other intersection,Full day
6,18,Female,Normal,Other intersection,Full day
3,18,Male,Normal,Other intersection,Full day
27,18,Male,Normal,Other intersection,Full day
55,11,Male,Normal,Out of intersection,Full day
46,17,Male,Normal,Out of intersection,Full day
14,17,Female,Normal,Out of intersection,Full day
27,17,Male,Normal,Out of intersection,Full day
22,22,Male,Normal,Out of intersection,Night without public lighting
58,22,Male,Normal,Out of intersection,Night without public lighting
59,22,Female,Normal,Out of intersection,Night without public lighting
24,7,Male,Normal,Out of intersection,Full day
22,7,Male,Normal,Out of intersection,Full day
27,7,Male,Normal,Out of intersection,Full day
42,12,Male,Heavy rain,Out of intersection,Full day
24,12,Female,Heavy rain,Out of intersection,Full day
46,7,Male,Normal,Out of intersection,Full day
27,7,Female,Normal,Out of intersection,Full day
31,7,Female,Normal,Out of intersection,Full day
31,7,Male,Normal,Out of intersection,Full day
43,18,Female,Normal,Out of intersection,Night without public lighting
55,18,Male,Normal,Out of intersection,Night without public lighting
7,18,Female,Normal,Intersection in T,Full day
56,18,Male,Normal,Intersection in T,Full day
56,18,Male,Normal,Intersection in T,Full day
30,19,Male,Normal,Intersection in X,Full day
26,19,Female,Normal,Intersection in X,Full day
18,8,Male,Normal,Out of intersection,Full day
46,8,Female,Normal,Out of intersection,Full day
61,9,Male,Normal,Out of intersection,Full day
76,17,Male,Heavy rain,Out of intersection,Full day
24,11,Female,Normal,Out of intersection,Full day
36,21,Male,Normal,Out of intersection,Twilight or dawn
39,18,Male,Normal,Out of intersection,Night with public lighting on
22,18,Female,Normal,Out of intersection,Night with public lighting on
78,17,Female,Normal,Intersection in X,Twilight or dawn
23,17,Male,Normal,Intersection in X,Twilight or dawn
49,14,Female,Normal,Out of intersection,Full day
63,14,Female,Normal,Out of intersection,Full day
23,14,Female,Normal,Out of intersection,Full day
29,14,Male,Normal,Out of intersection,Full day
23,11,Female,Dazzling weather,Out of intersection,Full day
25,11,Female,Dazzling weather,Out of intersection,Full day
23,11,Male,Dazzling weather,Out of intersection,Full day
31,11,Male,Dazzling weather,Out of intersection,Full day
23,2,Male,Light rain,Out of intersection,Night without public lighting
31,17,Male,Dazzling weather,Out of intersection,Full day
33,12,Male,Normal,Out of intersection,Full day
27,6,Male,Light rain,Out of intersection,Full day
18,6,Male,Light rain,Out of intersection,Full day
54,15,Male,Normal,Out of intersection,Full day
31,15,Male,Normal,Out of intersection,Full day
36,7,Female,Light rain,Out of intersection,Full day
16,7,Male,Light rain,Out of intersection,Full day
38,18,Male,Light rain,Out of intersection,Night without public lighting
20,18,Male,Light rain,Out of intersection,Night without public lighting
24,21,Male,Normal,Out of intersection,Night without public lighting
35,21,Male,Normal,Out of intersection,Night without public lighting
64,21,Male,Normal,Out of intersection,Night without public lighting
17,15,Male,Cloudy weather,Out of intersection,Full day
60,19,Male,Normal,Giratory,Full day
20,9,Male,Normal,Out of intersection,Night without public lighting
15,9,Female,Normal,Out of intersection,Night without public lighting
42,9,Male,Normal,Out of intersection,Night without public lighting
67,18,Male,Other,Out of intersection,Night without public lighting
61,18,Male,Other,Out of intersection,Night without public lighting
62,18,Female,Other,Out of intersection,Night without public lighting
94,9,Female,Normal,Out of intersection,Full day
76,9,Male,Normal,Out of intersection,Full day
37,10,Male,Normal,Out of intersection,Full day
34,10,Male,Normal,Out of intersection,Full day
23,10,Male,Normal,Out of intersection,Full day
27,17,Female,Normal,Giratory,Full day
15,17,Male,Normal,Giratory,Full day
32,4,Male,Cloudy weather,Out of intersection,Night without public lighting
34,4,Male,Cloudy weather,Out of intersection,Night without public lighting
38,7,Male,Normal,Out of intersection,Twilight or dawn
28,7,Female,Normal,Out of intersection,Twilight or dawn
41,8,Male,Normal,Out of intersection,Full day
28,5,Male,Normal,Out of intersection,Twilight or dawn
38,5,Male,Normal,Out of intersection,Twilight or dawn
17,19,Male,Normal,Out of intersection,Full day
20,19,Male,Normal,Out of intersection,Full day
30,6,Male,Normal,Out of intersection,Full day
26,6,Female,Normal,Out of intersection,Full day
66,12,Male,Light rain,Out of intersection,Full day
60,12,Female,Light rain,Out of intersection,Full day
32,12,Male,Light rain,Out of intersection,Full day
21,17,Male,Cloudy weather,Out of intersection,Full day
19,17,Female,Cloudy weather,Out of intersection,Full day
24,18,Male,Normal,Out of intersection,Full day
22,18,Female,Normal,Out of intersection,Full day
51,18,Male,Normal,Out of intersection,Full day
61,18,Male,Normal,Out of intersection,Full day
75,22,Male,Normal,Out of intersection,Night without public lighting
34,22,Male,Normal,Out of intersection,Night without public lighting
87,18,Female,Normal,Out of intersection,Twilight or dawn
26,18,Male,Normal,Out of intersection,Twilight or dawn
40,8,Female,Normal,Out of intersection,Twilight or dawn
34,7,Female,Normal,Out of intersection,Twilight or dawn
12,7,Male,Normal,Out of intersection,Twilight or dawn
12,7,Male,Normal,Out of intersection,Twilight or dawn
21,13,Female,Normal,Out of intersection,Full day
28,13,Male,Normal,Out of intersection,Full day
36,13,Male,Normal,Out of intersection,Full day
26,13,Female,Normal,Out of intersection,Full day
19,12,Male,Normal,Out of intersection,Full day
48,12,Male,Normal,Out of intersection,Full day
31,23,Male,Normal,Out of intersection,Night without public lighting
38,23,Female,Normal,Out of intersection,Night without public lighting
45,23,Male,Normal,Out of intersection,Night without public lighting
36,13,Male,Dazzling weather,Out of intersection,Full day
27,16,Female,Cloudy weather,Intersection in X,Full day
25,16,Female,Cloudy weather,Intersection in X,Full day
48,16,Male,Cloudy weather,Intersection in X,Full day
38,16,Male,Cloudy weather,Intersection in X,Full day
34,16,Female,Cloudy weather,Intersection in X,Full day
10,16,Male,Cloudy weather,Intersection in X,Full day
15,16,Female,Cloudy weather,Intersection in X,Full day
12,16,Female,Cloudy weather,Intersection in X,Full day
28,15,Male,Normal,Out of intersection,Full day
22,15,Male,Normal,Out of intersection,Full day
25,15,Male,Normal,Out of intersection,Full day
30,19,Male,Normal,Out of intersection,Full day
34,19,Male,Normal,Out of intersection,Full day
50,19,Male,Normal,Out of intersection,Full day
46,13,Male,Normal,Out of intersection,Full day
50,13,Male,Normal,Out of intersection,Full day
51,19,Male,Normal,Out of intersection,Twilight or dawn
48,19,Female,Normal,Out of intersection,Twilight or dawn
51,8,Female,Snow - hail,Out of intersection,Full day
44,8,Female,Snow - hail,Out of intersection,Full day
23,14,Male,Normal,Out of intersection,Full day
19,14,Male,Normal,Out of intersection,Full day
18,14,Female,Normal,Out of intersection,Full day
25,14,Male,Normal,Out of intersection,Full day
24,14,Male,Normal,Out of intersection,Full day
63,20,Male,Normal,Out of intersection,Night without public lighting
28,20,Male,Normal,Out of intersection,Night without public lighting
24,10,Male,Normal,Out of intersection,Full day
42,10,Male,Normal,Out of intersection,Full day
59,10,Male,Normal,Out of intersection,Full day
21,19,Male,Dazzling weather,Intersection in T,Full day
